Hogar propio,calle,Zona,tipovivienda,tiene discacidad,tiene celular,recibe el BDH,tiene negocio,AREA
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,rural,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,con asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,Si,No,Si,pobre
0,Sin asfalto,rural,departamento,No,No,Si,Si,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,Si,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,No,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre
0,Sin asfalto,rural,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,Si,Si,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,rural,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,departamento,No,No,Si,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,Si,No,Si,No,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
1,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
1,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,rural,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,Si,Si,pobre
0,Sin asfalto,rural,departamento,Si,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,rural,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
1,Sin asfalto,urbano,departamento,No,Si,No,No,pobre
1,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,Si,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,Sin asfalto,rural,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,con asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,Si,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,rural,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,con asfalto,urbano,casa,Si,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,Si,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,Si,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,no pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,Si,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,rural,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,no pobre
0,Sin asfalto,rural,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,casa,No,No,No,No,pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,rural,casa,No,No,No,No,no pobre
0,Sin asfalto,rural,casa,No,Si,Si,Si,no pobre
0,Sin asfalto,rural,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,Si,No,Si,Si,no pobre
0,con asfalto,urbano,casa,No,Si,Si,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,con asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,Si,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,Si,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,No,no pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,Si,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,Si,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,con asfalto,urbano,casa,No,No,No,No,no pobre
0,con asfalto,urbano,casa,No,Si,No,No,no pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre
0,Sin asfalto,rural,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,pobre
